race,female,hispanic,age,weight,num
American Indian or Alaska Native,FALSE,FALSE,18,4.948886059148095e-5,245
American Indian or Alaska Native,FALSE,FALSE,19,5.757930672269914e-5,256
American Indian or Alaska Native,FALSE,FALSE,20,5.7000870469946317e-5,242
American Indian or Alaska Native,FALSE,FALSE,21,5.148848790232181e-5,198
American Indian or Alaska Native,FALSE,FALSE,22,5.121650794241817e-5,176
American Indian or Alaska Native,FALSE,FALSE,23,4.416801320688717e-5,180
American Indian or Alaska Native,FALSE,FALSE,24,3.95022161482585e-5,165
American Indian or Alaska Native,FALSE,FALSE,25,4.4279103613045e-5,181
American Indian or Alaska Native,FALSE,FALSE,26,5.500890456642669e-5,182
American Indian or Alaska Native,FALSE,FALSE,27,4.864993648980634e-5,168
American Indian or Alaska Native,FALSE,FALSE,28,5.3871185579224134e-5,217
American Indian or Alaska Native,FALSE,FALSE,29,5.802366834733044e-5,201
American Indian or Alaska Native,FALSE,FALSE,30,5.8824285412398906e-5,232
American Indian or Alaska Native,FALSE,FALSE,31,4.089659228072224e-5,195
American Indian or Alaska Native,FALSE,FALSE,32,4.554706652470845e-5,192
American Indian or Alaska Native,FALSE,FALSE,33,4.466217397910646e-5,182
American Indian or Alaska Native,FALSE,FALSE,34,4.9622935219602465e-5,208
American Indian or Alaska Native,FALSE,FALSE,35,4.280811340736896e-5,189
American Indian or Alaska Native,FALSE,FALSE,36,4.5700294671133034e-5,200
American Indian or Alaska Native,FALSE,FALSE,37,4.914792796568624e-5,191
American Indian or Alaska Native,FALSE,FALSE,38,5.035076891511925e-5,207
American Indian or Alaska Native,FALSE,FALSE,39,3.91114843748758e-5,187
American Indian or Alaska Native,FALSE,FALSE,40,5.272963588836096e-5,186
American Indian or Alaska Native,FALSE,FALSE,41,4.3133723218521205e-5,171
American Indian or Alaska Native,FALSE,FALSE,42,4.524827163918051e-5,180
American Indian or Alaska Native,FALSE,FALSE,43,3.97129048495923e-5,173
American Indian or Alaska Native,FALSE,FALSE,44,3.5859216967013945e-5,180
American Indian or Alaska Native,FALSE,FALSE,45,3.491303316284212e-5,162
American Indian or Alaska Native,FALSE,FALSE,46,4.0862115947776705e-5,163
American Indian or Alaska Native,FALSE,FALSE,47,3.7671139798484684e-5,186
American Indian or Alaska Native,FALSE,FALSE,48,4.042924643412725e-5,173
American Indian or Alaska Native,FALSE,FALSE,49,3.5376548305776496e-5,160
American Indian or Alaska Native,FALSE,FALSE,50,4.606038081523082e-5,194
American Indian or Alaska Native,FALSE,FALSE,51,4.4263780798402536e-5,211
American Indian or Alaska Native,FALSE,FALSE,52,5.1963495156238023e-5,226
American Indian or Alaska Native,FALSE,FALSE,53,3.059583013732939e-5,174
American Indian or Alaska Native,FALSE,FALSE,54,4.824771260544179e-5,215
American Indian or Alaska Native,FALSE,FALSE,55,4.387304902501984e-5,206
American Indian or Alaska Native,FALSE,FALSE,56,3.823042253293443e-5,184
American Indian or Alaska Native,FALSE,FALSE,57,3.2564811818885325e-5,192
American Indian or Alaska Native,FALSE,FALSE,58,3.962862936905878e-5,213
American Indian or Alaska Native,FALSE,FALSE,59,4.617147122138864e-5,203
American Indian or Alaska Native,FALSE,FALSE,60,4.8197913457853804e-5,233
American Indian or Alaska Native,FALSE,FALSE,61,3.4112416097773656e-5,179
American Indian or Alaska Native,FALSE,FALSE,62,3.734169928367182e-5,201
American Indian or Alaska Native,FALSE,FALSE,63,3.240392226513951e-5,187
American Indian or Alaska Native,FALSE,FALSE,64,4.004617606806578e-5,186
American Indian or Alaska Native,FALSE,FALSE,65,3.082567235696626e-5,180
American Indian or Alaska Native,FALSE,FALSE,66,3.29746971105711e-5,203
American Indian or Alaska Native,FALSE,FALSE,67,2.7374208358752448e-5,166
American Indian or Alaska Native,FALSE,FALSE,68,2.72056573976854e-5,162
American Indian or Alaska Native,FALSE,FALSE,69,2.750062157955273e-5,155
American Indian or Alaska Native,FALSE,FALSE,70,2.4570133279182507e-5,152
American Indian or Alaska Native,FALSE,FALSE,71,2.1279558834714504e-5,132
American Indian or Alaska Native,FALSE,FALSE,72,1.9647679075292654e-5,102
American Indian or Alaska Native,FALSE,FALSE,73,2.1758396792291336e-5,140
American Indian or Alaska Native,FALSE,FALSE,74,2.2103160121746657e-5,104
American Indian or Alaska Native,FALSE,FALSE,75,2.1494078239708926e-5,116
American Indian or Alaska Native,FALSE,FALSE,76,1.3334679442599674e-5,80
American Indian or Alaska Native,FALSE,FALSE,77,1.1936472606475318e-5,80
American Indian or Alaska Native,FALSE,FALSE,78,1.0262455106786706e-5,71
American Indian or Alaska Native,FALSE,FALSE,79,8.87957108530481e-6,61
American Indian or Alaska Native,FALSE,FALSE,80,7.508179174804757e-6,49
American Indian or Alaska Native,FALSE,FALSE,81,9.159212452529681e-6,54
American Indian or Alaska Native,FALSE,FALSE,82,6.707562109736291e-6,42
American Indian or Alaska Native,FALSE,FALSE,83,6.113803042341017e-6,52
American Indian or Alaska Native,FALSE,FALSE,84,4.393817098725029e-6,27
American Indian or Alaska Native,FALSE,FALSE,85,3.7272746617780757e-6,22
American Indian or Alaska Native,FALSE,FALSE,86,3.5242473677654985e-6,16
American Indian or Alaska Native,FALSE,FALSE,87,1.448005983712346e-6,9
American Indian or Alaska Native,FALSE,FALSE,88,1.3369155775545206e-6,10
American Indian or Alaska Native,FALSE,FALSE,89,2.3750362695810967e-6,15
American Indian or Alaska Native,FALSE,FALSE,90,8.772311382807599e-7,7
American Indian or Alaska Native,FALSE,FALSE,92,1.214333060414851e-6,6
American Indian or Alaska Native,FALSE,FALSE,93,2.0724106803925376e-6,17
American Indian or Alaska Native,FALSE,FALSE,94,9.346916931899799e-7,3
American Indian or Alaska Native,FALSE,FALSE,95,7.661407321229344e-8,1
American Indian or Alaska Native,FALSE,TRUE,18,4.592247548344869e-5,117
American Indian or Alaska Native,FALSE,TRUE,19,5.740692505797147e-5,136
American Indian or Alaska Native,FALSE,TRUE,20,6.56122922990081e-5,146
American Indian or Alaska Native,FALSE,TRUE,21,6.110738479412524e-5,127
American Indian or Alaska Native,FALSE,TRUE,22,5.9356753221224344e-5,142
American Indian or Alaska Native,FALSE,TRUE,23,4.427144220572376e-5,99
American Indian or Alaska Native,FALSE,TRUE,24,4.3256305735660876e-5,99
American Indian or Alaska Native,FALSE,TRUE,25,5.806197538393658e-5,133
American Indian or Alaska Native,FALSE,TRUE,26,5.1806436306152826e-5,113
American Indian or Alaska Native,FALSE,TRUE,27,3.8824181600329704e-5,95
American Indian or Alaska Native,FALSE,TRUE,28,5.522725467508173e-5,119
American Indian or Alaska Native,FALSE,TRUE,29,5.207075485873524e-5,114
American Indian or Alaska Native,FALSE,TRUE,30,5.7437570687256396e-5,120
American Indian or Alaska Native,FALSE,TRUE,31,4.69184584352085e-5,121
American Indian or Alaska Native,FALSE,TRUE,32,4.994471432709409e-5,107
American Indian or Alaska Native,FALSE,TRUE,33,4.5462791044174926e-5,109
American Indian or Alaska Native,FALSE,TRUE,34,4.7435603429391486e-5,111
American Indian or Alaska Native,FALSE,TRUE,35,4.975317914406336e-5,110
American Indian or Alaska Native,FALSE,TRUE,36,5.346130028753836e-5,106
American Indian or Alaska Native,FALSE,TRUE,37,5.717325213467398e-5,123
American Indian or Alaska Native,FALSE,TRUE,38,4.507972067811346e-5,100
