id,PreScreen_Q1,Commitment_Q1,Commitment_Q2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Manipulation_Q1,QD2,QD2_1_TEXT,QD3_1,QD3_2,QD3_3,QD3_4,QD3_5,QD3_6,QD3_7,QD4,QD5,rnum,pi1,pi2,pi3,pi4,pi5,pi6,pi7,rnum_age,age1,age2,first_name1,first_name2,pol_exp1,pol_exp2,career1,career2
1,Yes,"Yes, I will",purple,,,,,Candidate 1,,,,Candidate 2,Age,28,,,,,White,,,Yes,Female,0.9403711692291244,0,0,0,0,0.5,1,1,0.1133571060172648,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
2,Yes,"Yes, I will",purple,,,Candidate 1,,,,,,Candidate 2,Age,24,,,,,White,,,No,Female,0.960903930003034,0,0,0,0,0.5,1,1,0.2706667828072484,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
3,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,Age,42,,,,,White,,,No,Male,0.08183871351225272,0,0,0,0,0.5,1,1,0.12090379072374288,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
4,Yes,"Yes, I will",purple,Candidate 1,,,,,,,,Candidate 2,Age,21,,,,,,Other,,Yes,Female,0.6456325942756684,0,0,0,0,0.5,1,1,0.4271416432287408,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
5,Yes,"Yes, I will",purple,,,,,Candidate 2,,,,Candidate 1,Age,26,,,,,White,,,No,Female,0.3437586755826507,0,0,0,0,0.5,1,1,0.7081113100769257,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
6,Yes,"Yes, I will",purple,,Candidate 2,,,,,,,Candidate 1,Age,64,,,Black or African American,,,,,No,Female,0.1292005381847733,0,0,0,0,0.5,1,1,0.8734458638060479,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
7,Yes,"Yes, I will",purple,,,,Candidate 2,,,,,Candidate 2,Age,54,,,,,White,,,No,Female,0.6681748835063015,0,0,0,0,0.5,1,1,0.20779528403836192,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
8,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 1,Age,67,,,,,White,,,No,Male,0.12116014448021542,0,0,0,0,0.5,1,1,0.8333151207383058,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
9,Yes,"Yes, I will",purple,Candidate 2,,,,,,,,Candidate 1,Age,69,,,,,White,,,No,Male,0.9859650712427602,0,0,0,0,0.5,1,1,0.7024319923255667,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
10,Yes,"Yes, I will",purple,,,,,,,,Candidate 2,Candidate 1,Age,22,,,,,White,,,No,Female,0.0406096663886238,0,0,0,0,0.5,1,1,0.9765019179267116,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
11,Yes,"Yes, I will",purple,,,,,Candidate 2,,,,Candidate 1,Age,37,,,,,White,,,No,Female,0.9966783486298934,0,0,0,0,0.5,1,1,0.7005144256866803,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
12,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 1,Age,72,,,,,White,,,No,Female,0.4842520720521575,0,0,0,0,0.5,1,1,0.8841040834980328,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
13,Yes,"Yes, I will",purple,,,,,,,,Candidate 2,Candidate 1,Age,24,,,,,White,,,No,Male,0.6329882905429668,0,0,0,0,0.5,1,1,0.7729768659390921,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
14,Yes,"Yes, I will",purple,,Candidate 2,,,,,,,Candidate 1,Age,34,,,,,White,,,No,Male,0.9904831475556092,0,0,0,0,0.5,1,1,0.9877227894001926,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
15,Yes,"Yes, I will",Purple,,Candidate 1,,,,,,,Candidate 2,Age,49,,,,,White,,,No,Female,0.5926532804948867,0,0,0,0,0.5,1,1,0.4463891122598176,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
16,Yes,"Yes, I will",purple,,,,,,,Candidate 1,,Candidate 1,Age,33,,,,,White,,,No,Male,0.15493079045669428,0,0,0,0,0.5,1,1,0.8958948855045938,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
17,Yes,"Yes, I will",purple,,,Candidate 1,,,,,,Candidate 1,Age,62,,,,,White,,,No,Male,0.619264695937574,0,0,0,0,0.5,1,1,0.8789840552208442,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
18,Yes,"Yes, I will",purple,,,,,,,,Candidate 1,Candidate 2,Age,30,,,,,White,,,No,Female,0.3276224621403083,0,0,0,0,0.5,1,1,0.46960396842789,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
19,Yes,"Yes, I will",purple,,Candidate 1,,,,,,,Candidate 1,Age,51,,,,,White,,,No,Female,0.16049553550791357,0,0,0,0,0.5,1,1,0.5267589193598272,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
20,Yes,"Yes, I will",purple,,,,,,,Candidate 2,,Candidate 1,Age,60,,,,,White,,,No,Female,0.932870784060301,0,0,0,0,0.5,1,1,0.6352608056355409,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
21,Yes,"Yes, I will",Purple,Candidate 2,,,,,,,,Candidate 2,Age,54,,,,,White,,,No,Female,0.18026468697475845,0,0,0,0,0.5,1,1,0.0515192803115396,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
