id,batch_id,batch_type,PreScreen_Q1,Commitment_Q1,Commitment_Q2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Manipulation_Q1,Manipulation_Q2,Manipulation_Q2_TEXT,QD2,QD2_1_TEXT,QD3_1,QD3_2,QD3_3,QD3_4,QD3_5,QD3_6,QD3_7,QD4,QD5,rnum,pi1,pi2,pi3,pi4,pi5,pi6,pi7,rnum_age,age1,age2,first_name1,first_name2,pol_exp1,pol_exp2,career1,career2
1,100,Validation,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,,,Age,41,,,,,White,,,No,Male,0.9503824186861474,0,0,0,0,0.5,1,1,0.1727571394696732,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
2,1,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,Candidate 1,,,,,,Candidate 2,,,Age,43,,,Black or African American,,,,,No,Male,0.24731047759934108,0.111,0.146,0.346,0.738,0.748,0.781,0.982,0.16745918573985322,49,62,Tanisha Rivers,Keisha Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
3,2,Iterative Batch Phase: Max,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 1,,,Age,53,,,Black or African American,,White,,,No,Female,0.8590332001585125,0.023,0.176,0.186,0.199,0.845,0.94,0.955,0.8723394099791393,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
4,100,Validation,Yes,"Yes, I will",purple,Candidate 2,,,,,,,,Candidate 1,,,Age,26,,Asian,,,,,,No,Female,0.9067959785244418,0,0,0,0,0.5,1,1,0.7362636983711887,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
5,100,Validation,Yes,"Yes, I will",purple,,,,,,,Candidate 2,,Candidate 1,,,Age,33,,,,,White,,,No,Female,0.11759159902985944,0,0,0,0,0.5,1,1,0.659203783063964,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
6,13,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,Candidate 2,,,Candidate 1,,,Age,66,,,,,White,,,No,Female,0.30327106413973287,0.046,0.108,0.144,0.455,0.677,0.952,0.978,0.7625378241675296,62,49,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
7,100,Validation,Yes,"Yes, I will",purple,,,,,,,,Candidate 1,Candidate 2,,,Age,41,,,,,White,,,No,Male,0.965414063764134,0,0,0,0,0.5,1,1,0.2054503297445947,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
8,100,Validation,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,,,Age,19,,Asian,,,,,,No,Male,0.8769689423211312,0,0,0,0,0.5,1,1,0.19212500918473233,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
9,19,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,Candidate 2,,,,,,,Candidate 2,,,Age,52,,,Black or African American,,White,,,No,Female,0.4695716447824546,0.04,0.053,0.083,0.255,0.36,0.959,0.975,0.4624800094083138,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
10,100,Validation,Yes,"Yes, I will",purple,,Candidate 1,,,,,,,Candidate 2,,,Age,30,,,Black or African American,,,,,No,Female,0.8067078815788747,0,0,0,0,0.5,1,1,0.21326114661369033,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
11,100,Validation,Yes,"Yes, I will",purple,,,,Candidate 1,,,,,Candidate 1,,,Age,59,,,,,White,,,Yes,Male,0.9139969555926504,0,0,0,0,0.5,1,1,0.7453250348906324,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
12,3,Iterative Batch Phase: Min,Yes,"Yes, I will",Purple,,,,,,Candidate 2,,,Candidate 1,,,Age,50,,,,,White,,,No,Male,0.5005612586393396,0.042,0.143,0.369,0.416,0.607,0.833,0.914,0.5453652603424539,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
13,100,Validation,Yes,"Yes, I will",purple,,Candidate 1,,,,,,,Candidate 2,,,Age,29,,Asian,,,,,,No,Female,0.3281740193088013,0,0,0,0,0.5,1,1,0.18013170458845135,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
14,4,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,,,Candidate 1,Candidate 2,,,Age,26,,,,,White,,,No,Female,0.6326128441450681,0.041,0.355,0.476,0.525,0.579,0.78,0.896,0.2043980774945575,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
15,100,Validation,Yes,"Yes, I will",purple,Candidate 2,,,,,,,,Candidate 1,,,Age,32,,Asian,,,,,,No,Female,0.09830971599982812,0,0,0,0,0.5,1,1,0.8126157533406783,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
16,100,Validation,Yes,"Yes, I will",purple,,,,Candidate 2,,,,,Candidate 1,,,Age,43,,,,,White,,,No,Male,0.27698093030531445,0,0,0,0,0.5,1,1,0.44310374987383927,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
17,100,Validation,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 1,,,Age,35,,,,,White,,,No,Male,0.7421399317081412,0,0,0,0,0.5,1,1,0.8402534604166293,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
18,6,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,Candidate 2,,,Candidate 2,,,Age,22,,Asian,,,,,,No,Female,0.5342064454532709,0.045,0.123,0.288,0.392,0.474,0.891,0.965,0.3742194800577638,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
19,11,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,Candidate 2,,,Candidate 1,,,Age,31,,,Black or African American,,,,,No,Male,0.8179810528685295,0.023,0.084,0.135,0.522,0.636,0.947,0.981,0.6765017725239745,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
20,9,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,,,Age,42,,,,,White,,,No,Male,0.07864416951282047,0.027,0.093,0.243,0.484,0.547,0.783,0.968,0.4380894974894099,49,62,Laurie Schmitt,Allison O'Connell,No experience,No experience,Restaurant owner,Small business owner
21,17,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,Candidate 2,,,,,,,Candidate 2,,,Age,34,,,,,White,,,No,Male,0.301714328187917,0.03,0.066,0.096,0.342,0.486,0.919,0.959,0.3187294230607174,49,62,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
22,6,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,,,Age,48,,Asian,,,,,,No,Male,0.5665224375125306,0.045,0.123,0.288,0.392,0.474,0.891,0.965,0.3168663332045233,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
23,1,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,,,Age,29,,,,,White,,,No,Female,0.4134870314536353,0.111,0.146,0.346,0.738,0.748,0.781,0.982,0.3380392471649775,49,62,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
24,2,Iterative Batch Phase: Max,Yes,"Yes, I will",purple,,,,,,,Candidate 1,,Candidate 2,,,Age,57,,,,,White,,,No,Female,0.7659895049328891,0.023,0.176,0.186,0.199,0.845,0.94,0.955,0.11807339361823942,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
25,1,Iterative Batch Phase: Max,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,,,Age,37,,Asian,,,,,,No,Male,0.16238222181852494,0.071,0.241,0.264,0.277,0.579,0.741,0.768,0.35173477776156153,49,62,Laurie Schmitt,Allison O'Connell,No experience,No experience,Restaurant owner,Small business owner
26,10,Iterative Batch Phase: Min,Yes,"Yes, I will",purple,Candidate 1,,,,,,,,Candidate 2,,,Age,26,,Asian,,,,,,No,Female,0.08697677731676418,0.052,0.166,0.24,0.497,0.625,0.922,0.966,0.3172993642085463,49,62,Laurie Schmitt,Allison O'Connell,No experience,No experience,Restaurant owner,Small business owner
27,100,Validation,Yes,"Yes, I will",purple,,,,Candidate 2,,,,,Candidate 1,,,Age,27,,Asian,Black or African American,,,,,No,Female,0.431667528448549,0,0,0,0,0.5,1,1,0.7020764885707936,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
28,100,Validation,Yes,"Yes, I will",purple,,,,Candidate 1,,,,,Candidate 1,,,Age,41,,,,,White,,,No,Male,0.8698459746944359,0,0,0,0,0.5,1,1,0.968843193251836,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
29,18,Iterative Batch Phase: Min,Yes,"Yes, I will",Purple,,,,,Candidate 1,,,,Candidate 1,,,Age,30,,,,,White,,,No,Female,0.16349340397014597,0.038,0.058,0.088,0.329,0.43,0.94,0.973,0.772891729551575,62,49,Tanisha Rivers,Keisha Mosely,No experience,No experience,Restaurant owner,Small business owner
30,100,Validation,Yes,"Yes, I will",purple,,Candidate 1,,,,,,,Candidate 2,,,Age,41,,,,,White,,,No,Male,0.00564258522485443,0,0,0,0,0.5,1,1,0.06598042744816757,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
31,100,Validation,Yes,"Yes, I will",purple,,,Candidate 1,,,,,,Candidate 1,,,Age,28,,,,,White,,,No,Female,0.0592074387379008,0,0,0,0,0.5,1,1,0.7617617223322768,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
32,100,Validation,Yes,"Yes, I will",purple,Candidate 2,,,,,,,,Candidate 1,,,Age,33,,Asian,,,,,,No,Male,0.8831206885825658,0,0,0,0,0.5,1,1,0.9279301471374768,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
33,0,Warmup,Yes,"Yes, I will",purple,,,,,Candidate 1,,,,Candidate 2,,,Age,32,,Asian,,,,,,No,Male,0.862402733616159,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.09988886096977836,49,62,Brendan Schmitt,Jay O'Connell,Member of Congress,State legislator,Restaurant owner,Small business owner
34,100,Validation,Yes,"Yes, I will",purple,,,,Candidate 2,,,,,Candidate 2,,,Age,28,,,,,White,,,No,Male,0.10647247198654164,0,0,0,0,0.5,1,1,0.3971544200082203,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
