unique_id,context,context_label,batch_id,batch_type,chose_mother,race,age,female,hispanic
1,1,black_low,0,Warmup,1,White,45,TRUE,FALSE
2,4,white_high,0,Warmup,1,White,28,TRUE,FALSE
3,4,white_high,0,Warmup,0,White,54,TRUE,FALSE
4,4,white_high,0,Warmup,1,Asian,36,TRUE,TRUE
5,4,white_high,0,Warmup,0,White,41,FALSE,FALSE
6,2,black_high,0,Warmup,0,White,36,TRUE,FALSE
7,4,white_high,0,Warmup,0,White,25,TRUE,FALSE
8,1,black_low,0,Warmup,0,Asian,46,TRUE,FALSE
9,3,white_low,0,Warmup,0,Black or African American,23,TRUE,FALSE
10,2,black_high,0,Warmup,0,White,28,FALSE,FALSE
11,4,white_high,0,Warmup,0,White,35,TRUE,FALSE
12,4,white_high,0,Warmup,1,Multiracial,38,FALSE,FALSE
13,1,black_low,0,Warmup,0,White,59,FALSE,FALSE
14,1,black_low,0,Warmup,1,Other,53,TRUE,TRUE
15,3,white_low,0,Warmup,1,White,42,FALSE,FALSE
16,1,black_low,0,Warmup,1,Black or African American,54,FALSE,FALSE
17,2,black_high,0,Warmup,0,White,36,FALSE,FALSE
18,4,white_high,0,Warmup,1,White,29,FALSE,FALSE
19,3,white_low,0,Warmup,0,White,40,FALSE,FALSE
20,1,black_low,0,Warmup,1,White,30,FALSE,FALSE
21,3,white_low,0,Warmup,1,White,37,TRUE,FALSE
22,2,black_high,0,Warmup,0,White,43,FALSE,FALSE
23,2,black_high,0,Warmup,1,White,42,TRUE,FALSE
24,1,black_low,0,Warmup,1,Multiracial,30,FALSE,FALSE
25,2,black_high,0,Warmup,1,Black or African American,45,FALSE,FALSE
26,1,black_low,0,Warmup,0,White,62,TRUE,FALSE
27,3,white_low,0,Warmup,1,Black or African American,51,FALSE,FALSE
28,4,white_high,0,Warmup,1,White,44,TRUE,FALSE
29,4,white_high,0,Warmup,0,White,31,FALSE,FALSE
30,3,white_low,0,Warmup,0,White,54,TRUE,FALSE
31,4,white_high,0,Warmup,0,White,33,FALSE,FALSE
32,1,black_low,0,Warmup,1,Native Hawaiian,43,FALSE,FALSE
33,4,white_high,0,Warmup,1,Black or African American,35,FALSE,FALSE
34,4,white_high,0,Warmup,0,White,53,TRUE,FALSE
35,3,white_low,0,Warmup,1,White,48,TRUE,FALSE
36,1,black_low,0,Warmup,0,White,50,TRUE,FALSE
37,2,black_high,0,Warmup,0,Asian,25,FALSE,FALSE
38,4,white_high,0,Warmup,1,White,73,TRUE,FALSE
39,1,black_low,0,Warmup,0,White,43,FALSE,FALSE
40,2,black_high,0,Warmup,0,Asian,28,TRUE,FALSE
41,4,white_high,0,Warmup,0,Asian,29,TRUE,FALSE
42,2,black_high,0,Warmup,1,White,72,TRUE,FALSE
43,1,black_low,0,Warmup,0,Asian,25,TRUE,FALSE
44,4,white_high,0,Warmup,0,White,22,FALSE,FALSE
45,1,black_low,0,Warmup,1,American Indian or Alaskan Native,31,FALSE,TRUE
46,4,white_high,0,Warmup,1,White,22,FALSE,FALSE
47,4,white_high,0,Warmup,1,White,39,FALSE,FALSE
48,2,black_high,0,Warmup,1,White,63,FALSE,FALSE
49,2,black_high,0,Warmup,1,White,35,TRUE,FALSE
50,4,white_high,0,Warmup,0,White,35,TRUE,FALSE
51,1,black_low,0,Warmup,0,White,37,TRUE,FALSE
52,4,white_high,0,Warmup,0,White,36,FALSE,FALSE
53,3,white_low,0,Warmup,0,Asian,27,TRUE,FALSE
54,2,black_high,0,Warmup,1,Black or African American,24,TRUE,FALSE
55,2,black_high,0,Warmup,1,White,35,FALSE,FALSE
56,3,white_low,0,Warmup,1,White,30,TRUE,FALSE
57,2,black_high,0,Warmup,0,White,31,TRUE,FALSE
58,4,white_high,0,Warmup,1,White,60,TRUE,FALSE
59,4,white_high,0,Warmup,1,White,22,TRUE,FALSE
60,2,black_high,0,Warmup,0,White,34,TRUE,TRUE
61,1,black_low,0,Warmup,1,Black or African American,30,TRUE,FALSE
62,2,black_high,0,Warmup,0,White,48,FALSE,FALSE
63,1,black_low,0,Warmup,1,White,41,FALSE,FALSE
64,4,white_high,0,Warmup,0,White,40,FALSE,FALSE
65,4,white_high,0,Warmup,1,White,50,TRUE,FALSE
66,4,white_high,0,Warmup,0,White,36,TRUE,FALSE
67,1,black_low,0,Warmup,0,White,40,FALSE,FALSE
68,1,black_low,0,Warmup,0,White,35,FALSE,FALSE
69,3,white_low,0,Warmup,1,White,28,TRUE,FALSE
70,2,black_high,0,Warmup,0,White,53,TRUE,FALSE
71,3,white_low,0,Warmup,0,White,59,TRUE,FALSE
72,4,white_high,0,Warmup,0,White,56,TRUE,FALSE
73,3,white_low,0,Warmup,1,White,37,FALSE,FALSE
74,1,black_low,0,Warmup,0,White,37,FALSE,FALSE
75,1,black_low,0,Warmup,1,Black or African American,28,TRUE,FALSE
76,1,black_low,0,Warmup,0,White,48,FALSE,FALSE
77,2,black_high,0,Warmup,1,Black or African American,29,FALSE,FALSE
78,2,black_high,0,Warmup,0,White,32,FALSE,FALSE
79,1,black_low,0,Warmup,0,White,46,TRUE,FALSE
80,2,black_high,0,Warmup,0,White,23,FALSE,TRUE
81,2,black_high,0,Warmup,0,White,36,FALSE,FALSE
82,2,black_high,0,Warmup,0,White,70,FALSE,FALSE
83,4,white_high,0,Warmup,1,White,36,FALSE,FALSE
84,4,white_high,0,Warmup,0,Black or African American,31,TRUE,FALSE
85,1,black_low,0,Warmup,1,White,40,FALSE,TRUE
86,2,black_high,0,Warmup,1,White,45,FALSE,FALSE
87,3,white_low,0,Warmup,0,White,40,TRUE,FALSE
88,3,white_low,0,Warmup,1,White,62,FALSE,FALSE
89,3,white_low,0,Warmup,0,Asian,25,TRUE,FALSE
90,1,black_low,0,Warmup,1,Multiracial,27,TRUE,TRUE
91,1,black_low,0,Warmup,1,Black or African American,40,TRUE,TRUE
92,2,black_high,0,Warmup,0,White,31,FALSE,FALSE
93,1,black_low,0,Warmup,1,White,60,TRUE,FALSE
94,1,black_low,0,Warmup,0,Multiracial,35,TRUE,TRUE
95,1,black_low,0,Warmup,0,White,50,TRUE,FALSE
96,1,black_low,0,Warmup,1,Asian,41,FALSE,FALSE
97,2,black_high,0,Warmup,1,White,31,FALSE,FALSE
98,4,white_high,0,Warmup,1,White,67,FALSE,FALSE
99,4,white_high,0,Warmup,0,White,41,TRUE,FALSE
100,4,white_high,0,Warmup,0,White,41,FALSE,FALSE
