Batch,Embedded data variable,CDF_Threshold,Batch Type
0,pi1,0.125,Warmup
0,pi2,0.25,Warmup
0,pi3,0.375,Warmup
0,pi4,0.5,Warmup
0,pi5,0.625,Warmup
0,pi6,0.75,Warmup
0,pi7,0.875,Warmup
1,pi1,0.086,Iterative Batch Phase: Max
1,pi2,0.288,Iterative Batch Phase: Max
1,pi3,0.3,Iterative Batch Phase: Max
1,pi4,0.314,Iterative Batch Phase: Max
1,pi5,0.579,Iterative Batch Phase: Max
1,pi6,0.745,Iterative Batch Phase: Max
1,pi7,0.765,Iterative Batch Phase: Max
1,pi1,0.111,Iterative Batch Phase: Min
1,pi2,0.146,Iterative Batch Phase: Min
1,pi3,0.346,Iterative Batch Phase: Min
1,pi4,0.738,Iterative Batch Phase: Min
1,pi5,0.748,Iterative Batch Phase: Min
1,pi6,0.781,Iterative Batch Phase: Min
1,pi7,0.982,Iterative Batch Phase: Min
2,pi1,0.023,Iterative Batch Phase: Max
2,pi2,0.176,Iterative Batch Phase: Max
2,pi3,0.186,Iterative Batch Phase: Max
2,pi4,0.199,Iterative Batch Phase: Max
2,pi5,0.845,Iterative Batch Phase: Max
2,pi6,0.94,Iterative Batch Phase: Max
2,pi7,0.955,Iterative Batch Phase: Max
2,pi1,0.165,Iterative Batch Phase: Min
2,pi2,0.184,Iterative Batch Phase: Min
2,pi3,0.425,Iterative Batch Phase: Min
2,pi4,0.758,Iterative Batch Phase: Min
2,pi5,0.759,Iterative Batch Phase: Min
2,pi6,0.792,Iterative Batch Phase: Min
2,pi7,0.999,Iterative Batch Phase: Min
3,pi1,0.028,Iterative Batch Phase: Max
3,pi2,0.073,Iterative Batch Phase: Max
3,pi3,0.078,Iterative Batch Phase: Max
3,pi4,0.094,Iterative Batch Phase: Max
3,pi5,0.813,Iterative Batch Phase: Max
3,pi6,0.925,Iterative Batch Phase: Max
3,pi7,0.94,Iterative Batch Phase: Max
4,pi1,0.035,Iterative Batch Phase: Max
4,pi2,0.102,Iterative Batch Phase: Max
4,pi3,0.108,Iterative Batch Phase: Max
4,pi4,0.12,Iterative Batch Phase: Max
4,pi5,0.856,Iterative Batch Phase: Max
4,pi6,0.901,Iterative Batch Phase: Max
4,pi7,0.916,Iterative Batch Phase: Max
5,pi1,0.032,Iterative Batch Phase: Max
5,pi2,0.059,Iterative Batch Phase: Max
5,pi3,0.066,Iterative Batch Phase: Max
5,pi4,0.079,Iterative Batch Phase: Max
5,pi5,0.899,Iterative Batch Phase: Max
5,pi6,0.934,Iterative Batch Phase: Max
5,pi7,0.95,Iterative Batch Phase: Max
5,pi1,0.111,Iterative Batch Phase: Min
5,pi2,0.146,Iterative Batch Phase: Min
5,pi3,0.346,Iterative Batch Phase: Min
5,pi4,0.738,Iterative Batch Phase: Min
5,pi5,0.748,Iterative Batch Phase: Min
5,pi6,0.781,Iterative Batch Phase: Min
5,pi7,0.982,Iterative Batch Phase: Min
