Batch,Embedded data variable,CDF_Threshold,Batch Type
0,pi1,0.25,Warmup
0,pi2,0.5,Warmup
0,pi3,0.75,Warmup
1,pi1,0.11,Iterative Batch Phase: Max
1,pi2,0.639,Iterative Batch Phase: Max
1,pi3,0.709,Iterative Batch Phase: Max
2,pi1,0.378,Iterative Batch Phase: Max
2,pi2,0.398,Iterative Batch Phase: Max
2,pi3,0.91,Iterative Batch Phase: Max
3,pi1,0.569,Iterative Batch Phase: Max
3,pi2,0.58,Iterative Batch Phase: Max
3,pi3,0.95,Iterative Batch Phase: Max
4,pi1,0.314,Iterative Batch Phase: Max
4,pi2,0.358,Iterative Batch Phase: Max
4,pi3,0.877,Iterative Batch Phase: Max
5,pi1,0.31,Iterative Batch Phase: Max
5,pi2,0.429,Iterative Batch Phase: Max
5,pi3,0.753,Iterative Batch Phase: Max
6,pi1,0.214,Iterative Batch Phase: Max
6,pi2,0.453,Iterative Batch Phase: Max
6,pi3,0.696,Iterative Batch Phase: Max
1,pi1,0.11,Iterative Batch Phase: Min
1,pi2,0.639,Iterative Batch Phase: Min
1,pi3,0.709,Iterative Batch Phase: Min
