batch_id,alpha,arm_id,id,beta
1,1,1,1,1
1,1,2,2,1
1,1,3,3,1
1,1,4,4,1
1,1,5,5,1
1,1,6,6,1
1,1,7,7,1
1,1,8,8,1
1,1,9,9,1
1,1,10,10,1
1,1,11,11,1
1,1,12,12,1
1,1,13,13,1
1,1,14,14,1
1,1,15,15,1
1,1,16,16,1
2,98,1,17,41
2,81,2,18,47
2,82,3,19,28
2,74,4,20,46
2,81,5,21,27
2,73,6,22,48
2,107,7,23,24
2,58,8,24,34
2,78,9,25,39
2,72,10,26,43
2,74,11,27,24
2,79,12,28,34
2,85,13,29,41
2,75,14,30,46
2,79,15,31,39
2,74,16,32,48
3,98,1,33,41
3,81,2,34,47
3,82,3,35,28
3,74,4,36,46
3,81,5,37,27
3,73,6,38,48
3,107,7,39,24
3,58,8,40,34
3,78,9,41,39
3,73,10,42,43
3,74,11,43,24
3,79,12,44,34
3,85,13,45,41
3,75,14,46,46
3,79,15,47,39
3,74,16,48,48
4,98,1,49,41
4,81,2,50,47
4,82,3,51,28
4,74,4,52,46
4,81,5,53,27
4,73,6,54,48
4,107,7,55,24
4,58,8,56,34
4,78,9,57,39
4,74,10,58,43
4,74,11,59,24
4,79,12,60,34
4,85,13,61,41
4,75,14,62,46
4,79,15,63,39
4,74,16,64,48
5,98,1,65,41
5,81,2,66,47
5,82,3,67,28
5,74,4,68,46
5,81,5,69,28
5,73,6,70,48
5,107,7,71,24
5,58,8,72,34
5,78,9,73,39
5,74,10,74,43
5,74,11,75,24
5,79,12,76,34
5,85,13,77,41
5,75,14,78,46
5,79,15,79,39
5,74,16,80,48
6,98,1,81,41
6,81,2,82,47
6,82,3,83,28
6,74,4,84,46
6,81,5,85,28
6,73,6,86,48
6,108,7,87,24
6,58,8,88,34
6,78,9,89,39
6,74,10,90,43
6,74,11,91,24
6,79,12,92,34
6,85,13,93,41
6,75,14,94,46
6,79,15,95,39
6,74,16,96,48
7,98,1,97,41
7,81,2,98,47
7,82,3,99,28
7,74,4,100,46
7,81,5,101,28
7,73,6,102,48
7,108,7,103,25
7,58,8,104,34
7,78,9,105,39
7,74,10,106,43
7,74,11,107,24
7,79,12,108,34
7,85,13,109,41
7,75,14,110,46
7,79,15,111,39
7,74,16,112,48
8,98,1,113,41
8,81,2,114,47
8,82,3,115,28
8,74,4,116,46
8,81,5,117,28
8,73,6,118,48
8,109,7,119,25
8,58,8,120,34
8,78,9,121,39
8,74,10,122,43
8,74,11,123,24
8,79,12,124,34
8,85,13,125,41
8,75,14,126,46
8,79,15,127,39
8,74,16,128,48
9,98,1,129,41
9,81,2,130,47
9,82,3,131,28
9,74,4,132,46
9,81,5,133,28
9,73,6,134,48
9,109,7,135,26
9,58,8,136,34
9,78,9,137,39
9,74,10,138,43
9,74,11,139,24
9,79,12,140,34
9,85,13,141,41
9,75,14,142,46
9,79,15,143,39
9,74,16,144,48
10,98,1,145,41
10,81,2,146,47
10,82,3,147,28
10,74,4,148,46
10,81,5,149,28
10,73,6,150,48
10,109,7,151,26
10,58,8,152,34
10,78,9,153,40
10,74,10,154,43
10,74,11,155,24
10,79,12,156,34
10,85,13,157,41
10,75,14,158,46
11,82,3,163,28
11,110,7,167,26
11,74,11,171,24
11,79,15,175,39
12,81,2,178,47
12,73,6,182,48
12,74,10,186,43
12,75,14,190,46
13,81,2,194,47
13,73,6,198,48
13,74,10,202,43
13,75,14,206,46
14,81,2,210,47
14,73,6,214,48
14,74,10,218,43
14,75,14,222,46
15,82,3,227,28
15,111,7,231,28
15,74,11,235,24
15,79,15,239,39
16,81,2,242,47
16,73,6,246,48
16,74,10,250,43
16,76,14,254,46
17,81,2,258,47
17,73,6,262,48
17,74,10,266,43
17,76,14,270,46
18,82,3,275,28
18,113,7,279,29
18,74,11,283,24
18,79,15,287,39
19,81,2,290,47
19,114,7,295,29
19,74,11,299,24
19,79,15,303,39
82,98,1,1297,41
82,88,5,1301,30
82,78,9,1305,40
82,85,13,1309,41
83,74,4,1316,46
83,58,8,1320,34
83,79,12,1324,34
83,74,16,1328,48
84,87,3,1331,29
84,150,7,1335,40
84,79,11,1339,28
84,79,15,1343,39
85,88,3,1347,29
85,150,7,1351,40
85,79,11,1355,28
85,79,15,1359,39
86,74,4,1364,46
86,58,8,1368,34
86,79,12,1372,34
86,74,16,1376,48
87,74,4,1380,46
87,58,8,1384,34
87,79,12,1388,34
87,74,16,1392,48
88,98,1,1393,41
88,88,3,1395,29
88,89,5,1397,30
88,151,7,1399,42
88,74,10,1402,43
88,85,13,1405,41
101,88,3,1603,29
101,58,8,1608,34
101,85,13,1613,41
102,88,3,1619,29
102,58,8,1624,34
102,85,13,1629,41
103,90,5,1637,30
103,74,10,1642,43
103,79,15,1647,39
104,81,2,1650,47
104,155,7,1655,42
104,79,12,1660,34
105,74,4,1668,46
105,78,9,1673,40
105,76,14,1678,46
106,98,1,1681,41
106,73,6,1686,49
106,80,11,1691,28
106,74,16,1696,48
107,88,3,1699,29
107,58,8,1704,34
107,85,13,1709,41
108,81,2,1714,47
108,158,7,1719,43
108,79,12,1724,34
109,81,2,1730,47
109,158,7,1735,44
109,79,12,1740,34
110,90,5,1749,30
110,74,10,1754,43
110,79,15,1759,39
111,81,2,1762,47
111,158,7,1767,44
111,79,12,1772,34
112,74,4,1780,46
112,78,9,1785,40
112,76,14,1790,46
113,74,4,1796,46
113,78,9,1801,40
113,76,14,1806,46
114,74,4,1812,46
114,78,9,1817,40
114,76,14,1822,46
115,98,1,1825,41
115,73,6,1830,49
115,81,11,1835,29
115,74,16,1840,48
151,74,4,2404,46
151,78,9,2409,40
151,76,14,2414,46
152,74,4,2420,46
152,78,9,2425,40
152,76,14,2430,46
153,99,1,2433,41
153,73,6,2438,50
153,84,11,2443,30
153,74,16,2448,48
154,99,1,2449,41
154,73,6,2454,50
154,84,11,2459,30
154,74,16,2464,48
155,94,3,2467,31
155,58,8,2472,34
155,86,13,2477,41
156,94,3,2483,31
156,58,8,2488,34
156,86,13,2493,41
157,92,5,2501,30
157,74,10,2506,43
157,79,15,2511,39
158,81,2,2514,47
158,181,7,2519,50
158,81,12,2524,34
159,96,3,2531,31
159,58,8,2536,34
159,86,13,2541,41
160,81,2,2546,47
160,182,7,2551,50
160,81,12,2556,34
161,81,2,2562,47
161,182,7,2567,50
161,81,12,2572,34
162,81,2,2578,47
162,183,7,2583,50
162,81,12,2588,34
163,99,1,2593,41
163,73,6,2598,50
163,84,11,2603,30
163,74,16,2608,48
164,99,1,2609,41
10,79,15,159,39
11,74,4,164,46
11,58,8,168,34
11,79,12,172,34
11,74,16,176,48
12,82,3,179,28
12,110,7,183,27
12,74,11,187,24
12,79,15,191,39
13,82,3,195,28
13,110,7,199,28
13,74,11,203,24
13,79,15,207,39
14,82,3,211,28
14,111,7,215,28
14,74,11,219,24
14,79,15,223,39
15,98,1,225,41
15,82,5,229,28
15,78,9,233,40
15,85,13,237,41
16,74,4,244,46
16,58,8,248,34
16,79,12,252,34
16,74,16,256,48
17,74,4,260,46
17,58,8,264,34
17,79,12,268,34
17,74,16,272,48
18,98,1,273,41
18,82,5,277,28
18,78,9,281,40
18,85,13,285,41
19,74,4,292,46
19,73,6,294,48
19,74,10,298,43
19,76,14,302,46
82,81,2,1298,47
82,73,6,1302,48
82,74,10,1306,43
82,76,14,1310,46
83,98,1,1313,41
83,89,5,1317,30
83,78,9,1321,40
83,85,13,1325,41
84,74,4,1332,46
84,58,8,1336,34
84,79,12,1340,34
84,74,16,1344,48
85,74,4,1348,46
85,58,8,1352,34
85,79,12,1356,34
85,74,16,1360,48
86,98,1,1361,41
86,89,5,1365,30
86,78,9,1369,40
86,85,13,1373,41
87,88,3,1379,29
87,151,7,1383,42
87,80,11,1387,28
87,79,15,1391,39
88,81,2,1394,47
88,74,4,1396,46
88,73,6,1398,48
88,58,8,1400,34
88,80,11,1403,28
88,79,15,1407,39
101,74,4,1604,46
101,78,9,1609,40
101,76,14,1614,46
102,74,4,1620,46
102,78,9,1625,40
102,76,14,1630,46
103,98,1,1633,41
103,73,6,1638,49
103,80,11,1643,28
103,74,16,1648,48
104,88,3,1651,29
104,58,8,1656,34
104,85,13,1661,41
105,90,5,1669,30
105,74,10,1674,43
105,79,15,1679,39
106,81,2,1682,47
106,156,7,1687,43
