id,in_usa,race,arm_id,context_batch_id,commitment,ethnicity,captcha,sex,option_preference,discriminated,option_attention,garbage,option_attention_truth,consent,age,batch_id,prolific_id
1,True,"race_aian, race_white",1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,35.0,1,6598343e661728c79746847c
2,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,21.0,1,668c4eeb35b48e50062b753e
3,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,31.0,1,62bdb128c44ae382e36dc883
4,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,74.0,1,65a6f9cae7634b05c34055b7
5,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,29.0,1,5c3fb96ec21f060001c47e3e
6,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,29.0,1,663e7a528b37110f9d167d65
7,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,51.0,1,66140da17c59d1ab9459158d
8,True,"race_aian, race_black",1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,29.0,1,667a24ecf0733c5daadb88d5
9,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,30.0,1,662d1a6a1e4a48245b3f576e
10,True,race_black,1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,33.0,1,65c175812725b7aa17d9595a
11,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,57.0,1,63b744d6c92e283f8b15993a
12,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,0,False,1,False,1,True,38.0,1,6113c68f6b89306b35fb512b
13,True,"race_aian, race_white",1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,38.0,1,6658d49af0f0787f8c8132b9
14,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,,0,True,0,False,0,True,30.0,1,66497704c55b6a0ac500cb61
15,True,race_aian,1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,44.0,1,5ed0539cc810201300401301
16,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,31.0,1,6647e47c0e8f4c4cc2b8bcfd
17,True,race_black,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,2,True,0,True,54.0,1,643a2952413aace3f4e6d61b
18,True,race_black,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,19.0,1,65f29ea693beb1fccff50fad
19,True,race_white,1,1,yes,hisp_latin_spanish_yes,Purple,female,1,False,0,False,0,True,41.0,1,668942870be8f04729bcf1ca
20,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,27.0,1,5da4e196e93f3600179efac0
21,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,False,1,True,0,True,30.0,1,6679878ac9038446faa264a3
22,True,race_white,1,1,yes,hisp_latin_spanish_yes,purple,male,0,True,0,False,0,True,22.0,1,6103420d5147efb55f890c8c
23,True,race_other,1,1,yes,hisp_latin_spanish_yes,Purple,female,1,True,1,False,1,True,28.0,1,668c1df6c78f0c1b5de0ade7
24,True,"race_asian, race_white",1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,37.0,1,667cb31fb40cdd26ad0dde4f
25,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,28.0,1,60fc306ac91659ba08cdb5b5
26,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,43.0,1,55bd254efdf99b374ec07161
27,True,race_white,1,1,yes,hisp_latin_spanish_no,Purple,female,1,True,2,True,1,True,31.0,1,668be3a53e958f71a71a2f07
28,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,38.0,1,5a8e3a33000dab00018cf318
29,True,race_asian,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,19.0,1,668b48e1d3b6830e2063f38f
30,True,"race_asian, race_black",1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,31.0,1,668c3e0bcd20a4a22d1c47ca
31,True,race_other,1,1,yes,hisp_latin_spanish_yes,purple,female,0,False,1,False,1,True,24.0,1,61077af9c25a64865de6ef41
32,True,race_asian,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,22.0,1,6111be92d4a6f91a2f5861ec
33,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,35.0,1,5bfe4d9cc83f04000142b693
34,True,race_black,1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,24.0,1,60fe30ae0befaefd35dda01b
35,True,race_asian,1,1,yes,hisp_latin_spanish_no,purple,,1,True,1,False,1,True,,1,5a553e07e0cf3d0001261df6
36,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,25.0,1,6689870da1139f6fd4154d78
37,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,48.0,1,63d8508a802eb87c7074f35c
38,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,41.0,1,668c3c8f766286ffd8b50097
39,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,23.0,1,668c22a8f449bd6138dd387f
40,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,21.0,1,668c37f06e1da1ca2602ba19
41,True,race_other,1,1,yes,hisp_latin_spanish_yes,purple,female,0,True,0,False,0,True,38.0,1,65f9e29b46a1be44327bb3a1
42,True,race_white,1,1,yes,hisp_latin_spanish_no,PURPLE,male,0,True,0,False,0,True,43.0,1,668b4d070be8f04729bd5fb7
43,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,28.0,1,644149a38a0d3ec2b79996e6
44,True,race_other,1,1,yes,hisp_latin_spanish_yes,purple,male,0,False,1,False,1,True,41.0,1,668c499dffcdb2ecd7127d5f
45,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,False,1,True,0,True,22.0,1,5f5328104f8d2d6363b0e4ee
46,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,36.0,1,667dc345297b040fa844727a
47,True,race_black,1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,30.0,1,65294744e690d55358e8b1fa
48,True,race_black,1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,34.0,1,668bf2f5dfd0a6bf4125f1aa
49,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,39.0,1,61074cf49372b754ac5cf8e6
50,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,54.0,1,63cc4ca8aa8ed478722c8a7c
51,True,"race_asian, race_white",1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,40.0,1,656b651a848e68e0b05432fd
52,True,"race_asian, race_white",1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,26.0,1,5ee509a09776d122a88d2ca4
53,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,30.0,1,5bb0c112a1c73d0001b9ce9e
54,True,race_black,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,30.0,1,664667f6a0697e6fa5a5447a
55,True,race_white,1,1,yes,hisp_latin_spanish_yes,purple,male,0,True,0,False,0,True,23.0,1,5f18c2af2946e80f3192e21a
56,True,race_asian,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,38.0,1,657f44240381878917c7370b
