id,in_usa,race,arm_id,context_batch_id,commitment,ethnicity,captcha,sex,option_preference,discriminated,option_attention,garbage,option_attention_truth,consent,age,batch_id,prolific_id
1,True,race_asian,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,38.0,1,5c84014bd34170000141b8d6
2,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,39.0,1,5f60d46853f16904f06df09f
3,True,"race_asian, race_white",1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,31.0,1,6001e7c83919e717dca8df72
4,True,"race_asian, race_white",1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,27.0,1,65957bdb3ab1bc637cf14e5e
5,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,23.0,1,608eca7ccddd6b465ae4805b
6,True,"race_aian, race_white",1,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,18.0,1,5d613f02b9233e0018f9450b
7,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,25.0,1,5d424db893066e00015a4397
8,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,41.0,1,653bb6fe6c99bd986b36541d
9,True,race_black,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,42.0,1,667c1a8fc70b4cca8c57858b
10,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,34.0,1,5fb6ebbb2b02f0180ff06910
11,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,33.0,1,6110b424f33e40556400ea79
12,True,"race_asian, race_white",1,1,yes,hisp_latin_spanish_no,Purple,male,0,True,0,False,0,True,29.0,1,668b2ff510d1a5ea89a2eb16
13,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,27.0,1,667d17585dfc4b24fcfabd94
14,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,26.0,1,5fd1010738899d00096e8802
15,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,34.0,1,63f7823635eaa68f32130a14
16,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,39.0,1,6171125c1d572c106f10824e
17,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,37.0,1,5bf465a2f35e0c00010178af
18,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,47.0,1,668c42213d35139abcb9ea01
19,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,0,False,1,False,1,True,32.0,1,6308505c96bf5d55a33746f1
20,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,29.0,1,60fc6ae65437508447b60c52
21,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,False,1,True,0,True,46.0,1,63ea4301f63c1d26f0ff83e9
22,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,32.0,1,5fff70ac22e2ad0995d0d45b
23,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,41.0,1,62728a4122289635e97d12f2
24,True,race_white,1,1,yes,hisp_latin_spanish_no,Purple,female,0,False,1,False,1,True,34.0,1,6166166d5e5dd71ba861b7b5
25,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,41.0,1,62beeb6f3c569e8e13b76dea
26,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,48.0,1,6659c169295d745b3863a4d4
27,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,42.0,1,5a504e0dacc75b000179b587
28,True,race_other,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,38.0,1,6287aa36c1f50d2e148e6d63
29,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,40.0,1,66894d1ea1139f6fd41540a2
30,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,27.0,1,5cdcb16cfc3b1b0001bd9518
31,True,race_asian,1,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,27.0,1,62e01fdb9adf283ff375724f
32,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,0,False,1,False,1,True,32.0,1,5f9b1d874c53722e435e820b
33,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,male,1,False,0,False,0,True,35.0,1,63209d3d38b5c490f3bccd01
34,True,race_white,1,1,yes,hisp_latin_spanish_no,purple,female,0,True,0,False,0,True,27.0,1,610a08e5cd0c726e86090915
35,True,race_asian,1,1,yes,hisp_latin_spanish_no,purple,male,0,False,1,False,1,True,37.0,1,654fe6af3517f92a06444ca5
