id,batch_id,arm_id,pi
1,1,1,0.0625
2,1,2,0.125
3,1,3,0.1875
4,1,4,0.25
5,1,5,0.3125
6,1,6,0.375
7,1,7,0.4375
8,1,8,0.5
9,1,9,0.5625
10,1,10,0.625
11,1,11,0.6875
12,1,12,0.75
13,1,13,0.8125
14,1,14,0.875
15,1,15,0.9375
16,1,16,1.0
17,2,1,0.004747
18,2,2,0.004782000000000001
19,2,3,0.064734
20,2,4,0.064744
21,2,5,0.138274
22,2,6,0.138277
23,2,7,0.89185
24,2,8,0.892009
25,2,9,0.892696
26,2,10,0.892734
27,2,11,0.9928210000000001
28,2,12,0.998372
29,2,13,0.9992260000000001
30,2,14,0.9992380000000001
31,2,15,0.9999950000000001
32,2,16,1.0
33,3,1,0.004643
34,3,2,0.004671000000000001
35,3,3,0.064639
36,3,4,0.06465900000000001
37,3,5,0.138648
38,3,6,0.138653
39,3,7,0.891826
40,3,8,0.891974
41,3,9,0.892652
42,3,10,0.892698
43,3,11,0.992771
44,3,12,0.998348
45,3,13,0.9992340000000001
46,3,14,0.9992470000000001
47,3,15,0.9999940000000002
48,3,16,1.0000000000000002
49,4,1,0.004656
50,4,2,0.004686
51,4,3,0.064375
52,4,4,0.06439
53,4,5,0.13830399999999998
54,4,6,0.138314
55,4,7,0.8923209999999999
56,4,8,0.8924799999999999
57,4,9,0.8932
58,4,10,0.893252
59,4,11,0.992838
60,4,12,0.998343
61,4,13,0.999189
62,4,14,0.999205
63,4,15,0.999995
64,4,16,1.0
65,5,1,0.005049
66,5,2,0.005078999999999999
67,5,3,0.066732
68,5,4,0.066744
69,5,5,0.123284
70,5,6,0.123292
71,5,7,0.8891429999999999
72,5,8,0.8893099999999999
73,5,9,0.8899959999999999
74,5,10,0.8900539999999999
75,5,11,0.9923439999999999
76,5,12,0.9982769999999999
77,5,13,0.9991599999999998
78,5,14,0.9991789999999998
79,5,15,0.9999879999999998
80,5,16,0.9999999999999998
81,6,1,0.004766
82,6,2,0.004793
83,6,3,0.063832
84,6,4,0.063842
85,6,5,0.117528
86,6,6,0.117531
87,6,7,0.893548
88,6,8,0.893724
89,6,9,0.894365
90,6,10,0.894417
91,6,11,0.992697
92,6,12,0.9984430000000001
93,6,13,0.9992800000000001
94,6,14,0.999298
95,6,15,0.999994
96,6,16,1.0
97,7,1,0.006002
98,7,2,0.006041
99,7,3,0.07731600000000001
100,7,4,0.07733100000000001
101,7,5,0.142489
102,7,6,0.142497
103,7,7,0.874186
104,7,8,0.874405
105,7,9,0.875267
106,7,10,0.875328
107,7,11,0.991149
108,7,12,0.9980079999999999
109,7,13,0.9990579999999999
110,7,14,0.9990819999999999
111,7,15,0.9999939999999999
112,7,16,0.9999999999999999
113,8,1,0.005709
114,8,2,0.005749
115,8,3,0.073516
116,8,4,0.07353
117,8,5,0.135651
118,8,6,0.135654
119,8,7,0.8782970000000001
120,8,8,0.8785220000000001
121,8,9,0.8792860000000001
122,8,10,0.8793510000000001
123,8,11,0.9914360000000001
124,8,12,0.9980580000000001
125,8,13,0.9990470000000001
126,8,14,0.9990650000000001
127,8,15,0.9999920000000001
128,8,16,1.0
129,9,1,0.007041
130,9,2,0.007083000000000001
131,9,3,0.087551
132,9,4,0.087567
133,9,5,0.16094
134,9,6,0.160944
135,9,7,0.8576889999999999
136,9,8,0.857933
137,9,9,0.858934
138,9,10,0.859016
139,9,11,0.989298
140,9,12,0.997453
141,9,13,0.998761
142,9,14,0.998791
143,9,15,0.999995
144,9,16,1.0
145,10,1,0.007188
146,10,2,0.007248
147,10,3,0.088247
148,10,4,0.08826400000000001
149,10,5,0.16152
150,10,6,0.161526
151,10,7,0.858404
152,10,8,0.85864
153,10,9,0.859271
154,10,10,0.859365
155,10,11,0.9894700000000001
156,10,12,0.997515
157,10,13,0.9988410000000001
158,10,14,0.9988580000000001
163,11,3,0.08407800000000001
167,11,7,0.8635170000000001
171,11,11,0.9899310000000001
175,11,15,0.9999920000000001
178,12,2,0.008448
182,12,6,0.180582
186,12,10,0.842944
190,12,14,0.998628
194,13,2,0.010167
198,13,6,0.208311
202,13,10,0.82219
206,13,14,0.998322
210,14,2,0.009714
214,14,6,0.20164500000000002
218,14,10,0.8268089999999999
222,14,14,0.9983059999999999
227,15,3,0.10803199999999999
231,15,7,0.8263259999999999
235,15,11,0.9857699999999998
239,15,15,0.9999889999999998
242,16,2,0.009077
246,16,6,0.20007200000000003
250,16,10,0.834148
254,16,14,0.998451
258,17,2,0.008552
262,17,6,0.19359800000000002
266,17,10,0.8398850000000001
270,17,14,0.9985390000000002
275,18,3,0.116236
279,18,7,0.816773
283,18,11,0.98463
287,18,15,0.9999910000000001
290,19,2,0.010024
294,19,6,0.215282
298,19,10,0.8244109999999999
302,19,14,0.9983759999999998
1297,82,1,0.013695
1301,82,5,0.293083
1305,82,9,0.885671
1309,82,13,0.9975390000000001
1316,83,4,0.164738
1320,83,8,0.886162
1324,83,12,0.995023
1328,83,16,1.0
1331,84,3,0.16297
1335,84,7,0.878298
1339,84,11,0.980466
1343,84,15,0.999991
1347,85,3,0.17316199999999998
1351,85,7,0.880574
1355,85,11,0.980804
1359,85,15,0.999986
1364,86,4,0.189019
1368,86,8,0.8680340000000001
1372,86,12,0.9945960000000001
1376,86,16,1.0
1380,87,4,0.19856400000000002
1384,87,8,0.8507
1393,88,1,0.015795
1397,88,5,0.351817
1401,88,9,0.85172
1405,88,13,0.9971949999999999
1619,112,3,0.21246
1624,112,8,0.8712900000000001
1629,112,13,0.9971100000000002
1635,113,3,0.21112999999999998
1640,113,8,0.87194
1645,113,13,0.9971800000000001
1651,114,3,0.20907
1656,114,8,0.87475
1661,114,13,0.99723
1669,115,5,0.36282000000000003
1674,115,10,0.8792299999999998
1679,115,15,0.9999899999999999
1685,116,5,0.35504
1690,116,10,0.88081
1695,116,15,0.99999
1697,117,1,0.0138
1702,117,6,0.36197
1707,117,11,0.97818
1712,117,16,1.0000000000000002
1713,118,1,0.01322
1718,118,6,0.35074
1723,118,11,0.9798899999999999
1728,118,16,1.0
1729,119,1,0.01409
1734,119,6,0.35727000000000003
1739,119,11,0.9797999999999999
1744,119,16,0.9999999999999999
1749,120,5,0.34628
1754,120,10,0.8880399999999999
1759,120,15,0.99996
1762,121,2,0.01473
1767,121,7,0.87781
1772,121,12,0.99412
1780,122,4,0.20013999999999998
1785,122,9,0.88393
1790,122,14,0.9975999999999999
1796,123,4,0.19922
1801,123,9,0.87661
1806,123,14,0.99772
1809,124,1,0.01384
1814,124,6,0.35806000000000004
1819,124,11,0.97972
1824,124,16,1.0
1825,125,1,0.01247
1830,125,6,0.34864
1835,125,11,0.9803800000000001
1840,125,16,1.0
1841,126,1,0.01305
1846,126,6,0.35846999999999996
1851,126,11,0.9805999999999999
1856,126,16,1.0
1857,127,1,0.01247
1862,127,6,0.36649000000000004
1867,127,11,0.9807899999999999
1872,127,16,0.9999999999999998
1874,128,2,0.01208
1879,128,7,0.8849800000000001
1884,128,12,0.99504
2436,163,4,0.20196
2441,163,9,0.8821900000000001
2446,163,14,0.9976300000000002
2452,164,4,0.19696
2457,164,9,0.88553
2462,164,14,0.9980800000000002
2469,165,5,0.3264
2474,165,10,0.8894900000000001
2479,165,15,1.0000000000000002
2482,166,2,0.01363
2487,166,7,0.88649
2492,166,12,0.99517
2498,167,2,0.01359
2503,167,7,0.88859
2508,167,12,0.9954
2516,168,4,0.19566
2521,168,9,0.8937200000000001
2526,168,14,0.9980600000000001
2533,169,5,0.32894999999999996
2538,169,10,0.8971399999999999
2543,169,15,0.9999999999999999
2549,170,5,0.35453
2554,170,10,0.88633
2559,170,15,0.9999799999999999
2565,171,5,0.3651
2570,171,10,0.8898699999999999
2575,171,15,0.99997
2581,172,5,0.35596
2586,172,10,0.89112
2591,172,15,0.99999
2597,173,5,0.34759999999999996
2602,173,10,0.89437
2607,173,15,0.9999600000000001
2613,174,5,0.34129
2618,174,10,0.89669
2623,174,15,0.9999899999999998
159,10,15,0.9999930000000001
164,11,4,0.08410700000000002
168,11,8,0.8637390000000001
172,11,12,0.9977030000000001
176,11,16,1.0
179,12,3,0.098323
183,12,7,0.841755
187,12,11,0.987285
191,12,15,0.999987
195,13,3,0.11333299999999999
199,13,7,0.820689
203,13,11,0.985034
207,13,15,0.999981
211,14,3,0.10964
215,14,7,0.825429
219,14,11,0.9854939999999999
223,14,15,0.9999819999999999
225,15,1,0.009628
229,15,5,0.20683999999999997
233,15,9,0.8276059999999998
237,15,13,0.9983179999999998
244,16,4,0.104396
248,16,8,0.833171
252,16,12,0.996609
256,16,16,0.9999999999999999
260,17,4,0.10107000000000001
264,17,8,0.8389750000000001
268,17,12,0.9968710000000002
272,17,16,1.0000000000000002
273,18,1,0.010205
277,18,5,0.221178
281,18,9,0.818109
285,18,13,0.99819
289,19,1,0.009948
293,19,5,0.215271
297,19,9,0.8242889999999999
301,19,13,0.9983349999999999
1298,82,2,0.013805000000000001
1302,82,6,0.293097
1306,82,10,0.885855
1310,82,14,0.9975890000000001
1313,83,1,0.013439
1317,83,5,0.300675
1321,83,9,0.887458
1325,83,13,0.997633
1332,84,4,0.16301100000000002
1336,84,8,0.878749
1340,84,12,0.995069
1344,84,16,1.0
1348,85,4,0.173199
1352,85,8,0.881014
1356,85,12,0.9953150000000001
1360,85,16,1.0
1361,86,1,0.014791
1365,86,5,0.334589
1369,86,9,0.8695260000000001
1373,86,13,0.9973790000000001
1379,87,3,0.19850600000000002
1383,87,7,0.850106
1395,88,3,0.198927
1399,88,7,0.849526
1403,88,11,0.976807
1407,88,15,0.9999779999999999
1620,112,4,0.21250000000000002
