id,in_usa,race,arm_id,context_batch_id,commitment,ethnicity,captcha,sex,option_preference,discriminated,option_attention,garbage,option_attention_truth,consent,age,batch_id,prolific_id,phase
1,True,race_white,10,1,yes,hisp_latin_spanish_yes,purple,female,0,True,0,False,0,True,24.0,1,663e42a7128ddc9411dc7db2,warmup
2,True,race_white,2,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,43.0,1,572a31e8d7299f000f7b594a,warmup
3,True,race_white,4,1,yes,hisp_latin_spanish_no,Purple,female,1,False,0,False,0,True,36.0,1,5c3a958d48ad2900017f6817,warmup
4,True,race_white,15,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,22.0,1,60fc1d65ce0a995f1530173d,warmup
5,True,race_white,12,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,32.0,1,628e51d27495cbf569ed1767,warmup
6,True,race_white,7,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,28.0,1,5b33034d975e260001e981c9,warmup
7,True,race_white,4,1,yes,hisp_latin_spanish_yes,purple,male,1,True,1,False,1,True,27.0,1,5e7f514bb18cb4000a68310d,warmup
8,True,race_asian,6,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,42.0,1,6631643d1643e83163d4c344,warmup
9,True,race_white,3,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,20.0,1,65ea1a02805b761a6c1eaacb,warmup
10,True,race_white,16,1,yes,hisp_latin_spanish_no,purple,female,1,False,0,False,0,True,53.0,1,5fd03a58a84a500ac4a43d55,warmup
11,True,race_asian,2,1,yes,hisp_latin_spanish_no,purple,male,0,True,0,False,0,True,30.0,1,663a8ab4b2a86c117b0aeed6,warmup
12,True,race_white,4,1,yes,hisp_latin_spanish_yes,purple,male,0,False,1,False,1,True,38.0,1,60c154002491061548587ff5,warmup
13,True,race_white,6,1,yes,hisp_latin_spanish_no,purple,female,1,True,1,False,1,True,26.0,1,60131feed4e20d19e9684150,warmup
14,True,race_white,4,1,yes,hisp_latin_spanish_no,purple,male,1,True,1,False,1,True,32.0,1,59d04cd4faf42e00012b6bcb,warmup
